FILE_NAME_1,FILE_NAME_2,TIME_STAMP_1,TIME_STAMP_2,RESULT_URL,PERC_SIM_1 [%],PERC_SIM_2 [%],LINES_MATCHES
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-37-24,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,232
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-37-24,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-37-24,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-34-54,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-34-54,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-34-54,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,232
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-34-54,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-34-54,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-33-54_cccefef3353f014f6c614c3c7a06da00c650d8db.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-33-54,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-33-54_cccefef3353f014f6c614c3c7a06da00c650d8db.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-33-54,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-33-54_cccefef3353f014f6c614c3c7a06da00c650d8db.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-33-54,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,232
ab0343-lim-50/2022-02-04_12-33-54_cccefef3353f014f6c614c3c7a06da00c650d8db.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-33-54,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-33-54_cccefef3353f014f6c614c3c7a06da00c650d8db.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-33-54,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-30-24,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-30-24,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-30-24,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,232
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-30-24,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-30-24,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-10-23,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,229
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-10-23,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,229
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-10-23,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,229
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-10-23,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,229
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-10-23,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,229
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-06-23,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-06-23,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-06-23,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,232
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-06-23,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-06-23,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,232
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_12-00-23,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_12-00-23,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_12-00-23,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,220
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_12-00-23,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_12-00-23,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_11-59-53,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_11-59-53,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_11-59-53,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,220
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_11-59-53,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_11-59-53,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_11-58-53,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,226
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_11-58-53,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,226
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-05-56_4b1844cf3d4ee64714fad94204e3b1469668d77c.c,2022-02-04_12-56-55,2022-02-04_12-05-56,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,232
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-05-56_4b1844cf3d4ee64714fad94204e3b1469668d77c.c,2022-02-04_12-56-25,2022-02-04_12-05-56,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,232
ab0343-lim-50/2022-02-04_12-49-24_db9f574f8cfa1b8090855b11d56a831a2a6169a5.c,ab0383-lim-50/2022-02-04_12-05-56_4b1844cf3d4ee64714fad94204e3b1469668d77c.c,2022-02-04_12-49-24,2022-02-04_12-05-56,http://moss.stanford.edu/results/7/2577632910019,61.0,63.0,232
ab0343-lim-50/2022-02-04_12-48-24_83c9ef2d1c1157a0928895a09463659321a80653.c,ab0383-lim-50/2022-02-04_12-05-56_4b1844cf3d4ee64714fad94204e3b1469668d77c.c,2022-02-04_12-48-24,2022-02-04_12-05-56,http://moss.stanford.edu/results/7/2577632910019,62.0,63.0,232
ab0343-lim-50/2022-02-04_12-47-54_ee788337cba769a497bbd4e67ed96ef16ab0754c.c,ab0383-lim-50/2022-02-04_12-05-56_4b1844cf3d4ee64714fad94204e3b1469668d77c.c,2022-02-04_12-47-54,2022-02-04_12-05-56,http://moss.stanford.edu/results/7/2577632910019,62.0,63.0,232
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-57-55,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,63.0,62.0,232
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-56-55,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,62.0,62.0,232
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-56-25,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,62.0,62.0,232
ab0343-lim-50/2022-02-04_12-49-24_db9f574f8cfa1b8090855b11d56a831a2a6169a5.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-49-24,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,61.0,62.0,232
ab0343-lim-50/2022-02-04_12-48-24_83c9ef2d1c1157a0928895a09463659321a80653.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-48-24,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,62.0,62.0,232
ab0343-lim-50/2022-02-04_12-47-54_ee788337cba769a497bbd4e67ed96ef16ab0754c.c,ab0383-lim-50/2022-02-04_12-08-56_ecb14ebf93fc3aa8b9ea02ed51eaac3503ef33df.c,2022-02-04_12-47-54,2022-02-04_12-08-56,http://moss.stanford.edu/results/7/2577632910019,62.0,62.0,232
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-58-13_0e622a943958a2697b9d44aca28aebd0c4b302b8.c,2022-02-04_11-58-53,2022-02-04_12-58-13,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-53-57_ed6983d9f57a1e15f45073ac63b0e7609b3b07b7.c,2022-02-04_11-58-53,2022-02-04_12-53-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-52-57_12703cd664dfcc76adeab3be82f9394604c83018.c,2022-02-04_11-58-53,2022-02-04_12-52-57,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,220
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-51-27_0af7415737ad85d6869d1d3f024af0055f8e4279.c,2022-02-04_11-58-53,2022-02-04_12-51-27,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-39-57_6079724dfb05c02b90d3176d7bf26f0ba9048abe.c,2022-02-04_11-58-53,2022-02-04_12-39-57,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,220
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-57-55,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,230
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-57-55,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,63.0,57.0,230
ab0343-lim-50/2022-02-04_12-57-55_69206aec29723b7001715b50a71ac3fd5f9e5ee1.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_12-57-55,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,63.0,56.0,230
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-56-55,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,62.0,63.0,230
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-56-55,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,62.0,57.0,230
ab0343-lim-50/2022-02-04_12-56-55_aaeb57d2a67f712462ea38b1c8888cbb43480301.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_12-56-55,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,62.0,56.0,230
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-56-25,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,62.0,63.0,230
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-56-25,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,62.0,57.0,230
ab0343-lim-50/2022-02-04_12-56-25_c8ca241908bb1b423094c44119b8057b6f86c754.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_12-56-25,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,62.0,56.0,230
ab0343-lim-50/2022-02-04_12-49-24_db9f574f8cfa1b8090855b11d56a831a2a6169a5.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-49-24,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,61.0,63.0,230
ab0343-lim-50/2022-02-04_12-49-24_db9f574f8cfa1b8090855b11d56a831a2a6169a5.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-49-24,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,61.0,57.0,230
ab0343-lim-50/2022-02-04_12-49-24_db9f574f8cfa1b8090855b11d56a831a2a6169a5.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_12-49-24,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,61.0,56.0,230
ab0343-lim-50/2022-02-04_12-48-24_83c9ef2d1c1157a0928895a09463659321a80653.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-48-24,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,61.0,63.0,230
ab0343-lim-50/2022-02-04_12-48-24_83c9ef2d1c1157a0928895a09463659321a80653.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-48-24,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,61.0,57.0,230
ab0343-lim-50/2022-02-04_12-48-24_83c9ef2d1c1157a0928895a09463659321a80653.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_12-48-24,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,61.0,56.0,230
ab0343-lim-50/2022-02-04_12-47-54_ee788337cba769a497bbd4e67ed96ef16ab0754c.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-47-54,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,62.0,63.0,230
ab0343-lim-50/2022-02-04_12-47-54_ee788337cba769a497bbd4e67ed96ef16ab0754c.c,ab0383-lim-50/2022-02-04_12-26-56_2af8e2cd872cd07b9002f8bec239c3ebee09e5f6.c,2022-02-04_12-47-54,2022-02-04_12-26-56,http://moss.stanford.edu/results/7/2577632910019,62.0,57.0,230
ab0343-lim-50/2022-02-04_12-47-54_ee788337cba769a497bbd4e67ed96ef16ab0754c.c,ab0383-lim-50/2022-02-04_12-23-26_c0c4cfa7cc8def9e683aa92bc55abb49ff7f680c.c,2022-02-04_12-47-54,2022-02-04_12-23-26,http://moss.stanford.edu/results/7/2577632910019,62.0,56.0,230
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-37-24,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,230
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-34-54,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,230
ab0343-lim-50/2022-02-04_12-33-54_cccefef3353f014f6c614c3c7a06da00c650d8db.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-33-54,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,230
ab0343-lim-50/2022-02-04_12-30-24_db7682b54cf57d2acc41bcc3f1a4f047d29fe0ee.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-30-24,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,230
ab0343-lim-50/2022-02-04_12-10-23_3a5a2db70324602939ac4322d69fb778d9a3aec8.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-10-23,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,227
ab0343-lim-50/2022-02-04_12-06-23_bab4a637a2234d719edce897b653042f353a3f18.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-06-23,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,230
ab0343-lim-50/2022-02-04_12-00-23_245c79ec5f3f3e7f86c52f58074edbaa9f71ec3c.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_12-00-23,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,218
ab0343-lim-50/2022-02-04_11-59-53_bd2b0f2ae66cb424eb262bc4a521a393379ed6f3.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_11-59-53,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,218
ab0343-lim-50/2022-02-04_11-58-53_ba9a5258146f4ac9467b59d3bd889eec9d56cd75.c,ab0383-lim-50/2022-02-04_12-45-57_d77726de8451235df56e22e14827541eb39f3835.c,2022-02-04_11-58-53,2022-02-04_12-45-57,http://moss.stanford.edu/results/7/2577632910019,63.0,63.0,218
ab0343-lim-50/2022-02-04_12-37-24_f3e489fe6f6296f3a1f10f51bc33cedbfa9fcaab.c,ab0383-lim-50/2022-02-04_12-16-56_a647b0e5fe9d2f5ff10fc219a3c9f0f3de07e7c5.c,2022-02-04_12-37-24,2022-02-04_12-16-56,http://moss.stanford.edu/results/7/2577632910019,61.0,56.0,233
ab0343-lim-50/2022-02-04_12-34-54_e46278b42f18f2bc2aeaf841a7fc056ef2ed2666.c,ab0383-lim-50/2022-02-04_12-16-56_a647b0e5fe9d2f5ff10fc219a3c9f0f3de07e7c5.c,2022-02-04_12-34-54,2022-02-04_12-16-56,http://moss.stanford.edu/results/7/2577632910019,61.0,56.0,233
